Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;191;140;242;100,0;30;30;0;191;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-05-01T00:00+02:00;2023-06-01T00:00+02:00;2023;5;122;102;142;100,0;31;31;0;122;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-05-01T00:00+02:00;2023-06-01T00:00+02:00;2023;5;169;141;197;100,0;31;31;0;169;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-05-01T00:00+02:00;2023-06-01T00:00+02:00;2023;5;169;141;197;100,0;31;31;0;169;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-05-01T00:00+02:00;2023-06-01T00:00+02:00;2023;5;122;102;142;100,0;31;31;0;122;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-05-01T00:00+02:00;2023-06-01T00:00+02:00;2023;5;291;243;339;100,0;31;31;0;291;0,0;Totalt;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;97;77;117;100,0;31;31;0;97;0,0;1;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;96;75;117;100,0;31;31;0;96;0,0;2;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;97;77;117;100,0;31;31;0;97;0,0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;96;75;117;100,0;31;31;0;96;0,0;Totalt i retning Giæverbukta;-;-;-;-;-;-;-;-
