"","Trafikkregistreringspunkt","Navn","Vegreferanse","Fra","Til","År","Måned","Trafikkmengde","Konfidensintervall.start","Konfidensintervall.slutt","Dekningsgrad....","Antall.døgn.total","Antall.døgn.inkludert","Antall.døgn.ugyldig","Ikke.gyldig.lengde","Lengdekvalitetsgrad....","Felt","X..5.6m","X...5.6m","X5.6m...7.6m","X7.6m...12.5m","X12.5m...16.0m","X...16.0m","X16.0m...24.0m","X...24.0m"
"404","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,6090,5411,6769,"100",31,31,0,0,"100","Totalt i retning Kvaløya",5722,368,115,141,92,21,21,0
"405","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,12224,10871,13577,"100",31,31,0,0,"100","Totalt",11348,875,336,299,187,54,53,1
"406","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,6774,6116,7432,"100",28,28,0,1,"100","1",6231,542,223,172,107,41,39,2
"407","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,6850,6175,7525,"100",28,28,0,1,"100","2",6432,417,123,161,105,27,27,0
"408","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,6773,6116,7430,"100",28,28,0,1,"100","Totalt i retning Sentrum",6230,541,222,171,107,41,39,2
"409","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,6851,6176,7526,"100",28,28,0,1,"100","Totalt i retning Kvaløya",6432,418,124,161,105,27,27,0
"410","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-02-01T00:00+01:00","2022-03-01T00:00+01:00",2022,2,13624,12293,14955,"100",28,28,0,2,"100","Totalt",12663,959,346,332,212,68,66,2
"411","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-03-01T00:00+01:00","2022-04-01T00:00+02:00",2022,3,7192,6534,7850,"100",31,31,0,0,"100","1",6590,602,248,172,132,50,48,2
"412","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-03-01T00:00+01:00","2022-04-01T00:00+02:00",2022,3,7240,6579,7901,"100",31,31,0,0,"100","2",6783,457,131,159,130,37,36,1
"413","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-03-01T00:00+01:00","2022-04-01T00:00+02:00",2022,3,7192,6534,7850,"100",31,31,0,0,"100","Totalt i retning Sentrum",6590,602,248,172,132,50,48,2
"414","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-03-01T00:00+01:00","2022-04-01T00:00+02:00",2022,3,7240,6579,7901,"100",31,31,0,0,"100","Totalt i retning Kvaløya",6783,457,131,159,130,37,36,1
"415","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-03-01T00:00+01:00","2022-04-01T00:00+02:00",2022,3,14432,13114,15750,"100",31,31,0,0,"100","Totalt",13373,1059,379,331,262,88,84,4
"416","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-04-01T00:00+02:00","2022-05-01T00:00+02:00",2022,4,6577,5695,7459,"100",30,30,0,1,"100","1",6070,507,203,143,115,46,44,2
"417","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-04-01T00:00+02:00","2022-05-01T00:00+02:00",2022,4,6651,5737,7565,"100",30,30,0,0,"100","2",6252,399,115,133,114,36,35,1
"418","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-04-01T00:00+02:00","2022-05-01T00:00+02:00",2022,4,6577,5695,7459,"100",30,30,0,1,"100","Totalt i retning Sentrum",6070,507,203,143,115,46,44,2
"419","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-04-01T00:00+02:00","2022-05-01T00:00+02:00",2022,4,6651,5737,7565,"100",30,30,0,1,"100","Totalt i retning Kvaløya",6252,399,115,133,114,36,35,1
"420","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-04-01T00:00+02:00","2022-05-01T00:00+02:00",2022,4,13228,11432,15024,"100",30,30,0,1,"100","Totalt",12321,905,318,276,229,83,80,3
"421","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-05-01T00:00+02:00","2022-06-01T00:00+02:00",2022,5,7298,6475,8121,"100",31,31,0,0,"100","1",6705,593,224,204,117,49,46,3
"422","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-05-01T00:00+02:00","2022-06-01T00:00+02:00",2022,5,7434,6574,8294,"100",31,31,0,1,"100","2",6947,486,143,185,117,41,39,2
"423","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-05-01T00:00+02:00","2022-06-01T00:00+02:00",2022,5,7299,6476,8122,"100",31,31,0,1,"100","Totalt i retning Sentrum",6706,592,224,204,117,49,46,3
"424","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-05-01T00:00+02:00","2022-06-01T00:00+02:00",2022,5,7434,6574,8294,"100",31,31,0,2,"100","Totalt i retning Kvaløya",6947,486,143,185,117,41,39,2
"425","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-05-01T00:00+02:00","2022-06-01T00:00+02:00",2022,5,14732,13052,16412,"100",31,31,0,1,"100","Totalt",13652,1078,367,389,233,89,85,4
"426","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-06-01T00:00+02:00","2022-07-01T00:00+02:00",2022,6,7365,6621,8109,"100",30,30,0,0,"100","1",6670,695,257,272,114,51,48,3
"427","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-06-01T00:00+02:00","2022-07-01T00:00+02:00",2022,6,7511,6710,8312,"100",30,30,0,1,"100","2",6925,585,182,251,110,42,40,2
"428","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-06-01T00:00+02:00","2022-07-01T00:00+02:00",2022,6,7366,6622,8110,"100",30,30,0,1,"100","Totalt i retning Sentrum",6670,695,257,272,114,51,48,3
"429","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-06-01T00:00+02:00","2022-07-01T00:00+02:00",2022,6,7511,6710,8312,"100",30,30,0,1,"100","Totalt i retning Kvaløya",6925,585,182,251,110,42,40,2
"430","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-06-01T00:00+02:00","2022-07-01T00:00+02:00",2022,6,14876,13333,16419,"100",30,30,0,1,"100","Totalt",13595,1280,439,523,224,93,88,5
"431","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-07-01T00:00+02:00","2022-08-01T00:00+02:00",2022,7,5220,4712,5728,"100",31,31,0,1,"100","1",4718,502,188,200,77,36,34,2
"432","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-07-01T00:00+02:00","2022-08-01T00:00+02:00",2022,7,5322,4775,5869,"100",31,31,0,0,"100","2",4891,431,143,186,72,30,28,2
"433","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-07-01T00:00+02:00","2022-08-01T00:00+02:00",2022,7,5220,4712,5728,"100",31,31,0,0,"100","Totalt i retning Sentrum",4718,501,188,200,77,36,34,2
"434","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-07-01T00:00+02:00","2022-08-01T00:00+02:00",2022,7,5322,4775,5869,"100",31,31,0,0,"100","Totalt i retning Kvaløya",4891,431,143,186,72,30,28,2
"435","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-07-01T00:00+02:00","2022-08-01T00:00+02:00",2022,7,10542,9488,11596,"100",31,31,0,1,"100","Totalt",9609,932,330,386,149,66,62,4
"436","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-08-01T00:00+02:00","2022-09-01T00:00+02:00",2022,8,6887,6220,7554,"100",31,31,0,1,"100","1",6251,635,221,262,102,49,47,2
"437","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-08-01T00:00+02:00","2022-09-01T00:00+02:00",2022,8,6974,6284,7664,"100",31,31,0,1,"100","2",6436,537,159,237,99,42,40,2
"438","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-08-01T00:00+02:00","2022-09-01T00:00+02:00",2022,8,6889,6222,7556,"100",31,31,0,1,"100","Totalt i retning Sentrum",6251,636,221,262,103,50,48,2
"439","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-08-01T00:00+02:00","2022-09-01T00:00+02:00",2022,8,6972,6282,7662,"100",31,31,0,1,"100","Totalt i retning Kvaløya",6435,536,159,237,98,42,40,2
"440","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-08-01T00:00+02:00","2022-09-01T00:00+02:00",2022,8,13861,12505,15217,"100",31,31,0,2,"100","Totalt",12687,1172,380,499,201,91,87,4
"441","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-09-01T00:00+02:00","2022-10-01T00:00+02:00",2022,9,7651,6920,8382,"100",30,30,0,0,"100","1",7013,638,210,262,118,47,45,2
"442","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-09-01T00:00+02:00","2022-10-01T00:00+02:00",2022,9,7840,7064,8616,"100",30,30,0,0,"100","2",7273,567,163,244,118,43,41,2
"443","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-09-01T00:00+02:00","2022-10-01T00:00+02:00",2022,9,7649,6919,8379,"100",30,30,0,0,"100","Totalt i retning Sentrum",7011,638,210,262,118,47,45,2
"444","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-09-01T00:00+02:00","2022-10-01T00:00+02:00",2022,9,7842,7066,8618,"100",30,30,0,0,"100","Totalt i retning Kvaløya",7275,567,163,244,118,43,41,2
"445","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-09-01T00:00+02:00","2022-10-01T00:00+02:00",2022,9,15492,13988,16996,"100",30,30,0,1,"100","Totalt",14286,1205,373,506,236,90,86,4
"446","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-10-01T00:00+02:00","2022-11-01T00:00+01:00",2022,10,7443,6693,8193,"100",31,31,0,1,"100","1",6876,567,193,223,107,44,42,2
"447","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-10-01T00:00+02:00","2022-11-01T00:00+01:00",2022,10,7600,6817,8383,"100",31,31,0,0,"100","2",7100,500,144,211,107,38,36,2
"448","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-10-01T00:00+02:00","2022-11-01T00:00+01:00",2022,10,7443,6693,8193,"100",31,31,0,1,"100","Totalt i retning Sentrum",6876,567,193,223,107,44,42,2
"449","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-10-01T00:00+02:00","2022-11-01T00:00+01:00",2022,10,7600,6817,8383,"100",31,31,0,1,"100","Totalt i retning Kvaløya",7100,500,144,211,107,38,36,2
"450","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-10-01T00:00+02:00","2022-11-01T00:00+01:00",2022,10,15043,13511,16575,"100",31,31,0,1,"100","Totalt",13975,1066,337,433,214,82,78,4
"451","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-11-01T00:00+01:00","2022-12-01T00:00+01:00",2022,11,7479,6774,8184,"100",30,30,0,0,"100","1",6943,536,187,196,111,42,40,2
"452","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-11-01T00:00+01:00","2022-12-01T00:00+01:00",2022,11,7750,7003,8497,"100",30,30,0,0,"100","2",7273,477,143,188,112,34,33,1
"453","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-11-01T00:00+01:00","2022-12-01T00:00+01:00",2022,11,7479,6774,8184,"100",30,30,0,0,"100","Totalt i retning Sentrum",6943,536,187,196,111,42,40,2
